

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
124.525  001.771  001.220: require('mason-lspconfig.api.command')
124.534  070.851  000.964: require('lsp-install-config')
125.668  000.717  000.717: require('lspconfig')
126.044  000.366  000.366: require('lsp-default-keybinds')
126.659  000.604  000.604: require('lspconfig.server_configurations.sumneko_lua')
128.624  000.545  000.545: require('lspconfig.server_configurations.tsserver')
129.957  000.488  000.488: require('lspconfig.server_configurations.jsonls')
131.278  000.568  000.568: require('lspconfig.server_configurations.pyright')
132.718  000.724  000.724: require('mason-lspconfig.server_configurations.omnisharp')
133.760  000.970  000.970: require('lspconfig.server_configurations.eslint')
135.023  000.565  000.565: require('lspconfig.server_configurations.yamlls')
136.220  000.583  000.583: require('lspconfig.server_configurations.hls')
137.497  000.523  000.523: require('lspconfig.server_configurations.rust_analyzer')
139.076  000.698  000.698: require('lsp-colors')
140.460  001.365  001.365: require('nvim-lightbulb')
140.979  000.503  000.503: require('nvim-lightbulb.config')
141.048  016.508  007.289: require('lsp-config')
146.303  000.540  000.540: require('luasnip.session')
147.558  001.248  001.248: require('luasnip.util.util')
147.756  000.192  000.192: require('luasnip.util.types')
148.606  000.377  000.377: require('luasnip.util.ext_opts')
148.628  000.862  000.486: require('luasnip.nodes.util')
148.942  000.306  000.306: require('luasnip.util.events')
148.977  003.876  000.727: require('luasnip.nodes.node')
150.032  000.373  000.373: require('luasnip.util.extend_decorator')
150.056  001.071  000.698: require('luasnip.nodes.insertNode')
150.464  000.401  000.401: require('luasnip.nodes.textNode')
151.033  000.558  000.558: require('luasnip.util.mark')
152.538  000.993  000.993: require('luasnip.util._builtin_vars')
152.616  000.070  000.070: require('vim.inspect')
152.690  001.648  000.584: require('luasnip.util.environ')
153.101  000.405  000.405: require('luasnip.util.pattern_tokenizer')
153.527  000.416  000.416: require('luasnip.util.dict')
154.140  000.603  000.603: require('luasnip.session.snippet_collection')
154.214  010.748  001.770: require('luasnip.nodes.snippet')
154.959  000.340  000.340: require('luasnip.loaders._caches')
155.531  000.562  000.562: require('luasnip.util.path')
155.593  001.372  000.470: require('luasnip.loaders')
156.236  000.604  000.604: require('luasnip.nodes.functionNode')
156.952  000.709  000.709: require('luasnip.nodes.choiceNode')
157.688  000.730  000.730: require('luasnip.nodes.dynamicNode')
158.252  000.558  000.558: require('luasnip.nodes.restoreNode')
160.148  000.520  000.520: require('luasnip.util.parser.neovim_ast')
162.197  000.318  000.318: require('luasnip.util.directed_graph')
162.215  003.319  002.481: require('luasnip.util.parser.ast_utils')
163.361  000.337  000.337: require('luasnip.util.functions')
163.382  001.160  000.823: require('luasnip.util.parser.ast_parser')
164.362  000.973  000.973: require('luasnip.util.parser.neovim_parser')
164.536  000.167  000.167: require('luasnip.util.str')
164.553  006.293  000.674: require('luasnip.util.parser')
166.915  001.772  001.772: require('luasnip.extras.filetype_functions')
167.250  000.297  000.297: require('luasnip.nodes.absolute_indexer')
167.950  000.690  000.690: require('luasnip.extras')
168.965  001.009  001.009: require('luasnip.extras.fmt')
170.377  000.456  000.456: require('luasnip.extras.conditions')
170.770  000.383  000.383: require('luasnip.extras.conditions.show')
170.930  001.643  000.804: require('luasnip.extras.conditions.expand')
170.939  001.967  000.324: require('luasnip.extras.expand_conditions')
171.363  000.418  000.418: require('luasnip.extras.postfix')
171.832  007.273  001.121: require('luasnip.config')
171.840  029.297  001.008: require('luasnip')
172.384  000.540  000.540: require('luasnip.loaders.util')
172.811  000.421  000.421: require('luasnip.nodes.snippetProxy')
172.833  031.467  001.209: require('luasnip.loaders.from_vscode')
187.573  046.515  015.049: require('luasnip-config')
191.511  000.866  000.866: require('plenary.bit')
192.055  000.538  000.538: require('plenary.functional')
192.110  000.031  000.031: require('ffi')
192.141  003.324  001.890: require('plenary.path')
193.820  001.134  001.134: require('plenary.job')
193.827  001.680  000.546: require('harpoon.utils')
195.182  000.866  000.866: require('plenary.log')
195.225  001.393  000.528: require('harpoon.dev')
195.459  007.809  001.412: require('harpoon')
195.803  008.219  000.410: require('harpoon-config')
197.463  001.088  001.088: require('lspkind')
200.637  000.712  000.712: require('cmp.utils.debug')
201.977  000.682  000.682: require('cmp.utils.char')
201.989  001.346  000.663: require('cmp.utils.str')
202.476  000.483  000.483: require('cmp.utils.pattern')
204.652  000.716  000.716: require('cmp.utils.misc')
205.079  000.421  000.421: require('cmp.utils.buffer')
205.664  000.575  000.575: require('cmp.utils.api')
205.680  002.578  000.866: require('cmp.utils.keymap')
205.692  003.207  000.628: require('cmp.utils.feedkeys')
206.394  000.695  000.695: require('cmp.utils.async')
208.380  000.655  000.655: require('cmp.types.cmp')
209.194  000.804  000.804: require('cmp.types.lsp')
209.500  000.299  000.299: require('cmp.types.vim')
209.510  002.552  000.794: require('cmp.types')
210.185  000.668  000.668: require('cmp.utils.cache')
210.198  003.794  000.573: require('cmp.context')
212.834  000.986  000.986: require('cmp.config.mapping')
214.285  000.746  000.746: require('cmp.config.compare')
214.292  001.445  000.699: require('cmp.config.default')
214.316  003.185  000.754: require('cmp.config')
216.250  000.772  000.772: require('cmp.matcher')
216.266  001.945  001.173: require('cmp.entry')
216.277  006.073  000.943: require('cmp.source')
217.353  000.366  000.366: require('cmp.utils.event')
219.045  000.780  000.780: require('cmp.utils.window')
219.053  001.690  000.909: require('cmp.view.docs_view')
220.334  000.265  000.265: require('cmp.utils.autocmd')
220.353  001.296  001.031: require('cmp.view.custom_entries_view')
221.113  000.755  000.755: require('cmp.view.wildmenu_entries_view')
221.800  000.681  000.681: require('cmp.view.native_entries_view')
222.446  000.636  000.636: require('cmp.view.ghost_text_view')
222.470  006.188  000.764: require('cmp.view')
222.635  023.740  001.242: require('cmp.core')
223.136  000.356  000.356: require('cmp.config.sources')
223.726  000.579  000.579: require('cmp.config.window')
223.874  026.376  001.701: require('cmp')
226.537  000.151  000.151: require('colorbuddy.execute')
226.695  000.152  000.152: require('colorbuddy.log')
227.224  000.523  000.523: require('colorbuddy.util')
228.550  000.547  000.547: require('colorbuddy.modifiers')
228.641  001.408  000.861: require('colorbuddy.color')
229.214  000.567  000.567: require('colorbuddy.style')
229.244  003.734  000.933: require('colorbuddy.group')
229.250  004.562  000.828: require('colorbuddy')
229.489  033.650  001.624: require('completion')
230.459  000.645  000.645: require('Comment')
231.278  000.223  000.223: require('Comment.config')
232.354  000.524  000.524: require('Comment.ft')
232.363  001.075  000.551: require('Comment.utils')
232.943  000.576  000.576: require('Comment.opfunc')
233.443  000.493  000.493: require('Comment.extra')
233.456  002.987  000.619: require('Comment.api')
233.614  000.010  000.010: require('vim.keymap')
233.903  004.408  000.766: require('comment-nvim')
235.861  000.518  000.518: require('el.builtin')
236.920  000.404  000.404: require('el.data')
238.079  000.487  000.487: require('el.log')
239.271  000.572  000.572: require('el.meta')
239.284  001.195  000.623: require('el.processor')
239.293  002.363  000.681: require('el.sections')
239.341  003.470  000.703: require('el.extensions')
240.462  000.615  000.615: require('el.helper')
240.514  001.167  000.552: require('el.subscribe')
242.248  001.728  001.728: require('el.plugins.lsp_status')
242.265  007.824  000.940: require('el')
245.743  003.023  003.023: require('vim.diagnostic')
245.751  003.480  000.457: require('el.diagnostic')
248.806  001.058  001.058: require('fidget.log')
248.836  002.263  001.205: require('fidget')
249.560  000.689  000.689: require('fidget.spinners')
249.615  015.706  001.450: require('statusline')
251.863  000.619  000.619: require('virt-column.utils')
251.875  001.965  001.347: require('virt-column')
252.010  002.388  000.423: require('virt-column-config')
254.758  000.699  000.699: require('dap.utils')
254.993  002.630  001.931: require('dap')
255.010  002.992  000.362: require('dap-config')
255.056  000.041  000.041: require('keybinds')
255.835  000.744  000.744: require('lspsaga-config')
255.842  235.791  000.236: sourcing /home/tapiok/.config/nvim/init.lua
255.861  005.913: sourcing vimrc file(s)
257.329  000.280  000.280: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
258.297  000.273  000.273: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/flow.vim
258.457  000.107  000.107: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/javascript.vim
259.838  000.024  000.024: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
259.894  000.027  000.027: sourcing /usr/share/vim/vimfiles/ftdetect/SRCINFO.vim
260.214  000.289  000.289: sourcing /usr/share/vim/vimfiles/ftdetect/conkyrc.vim
260.982  004.241  003.241: sourcing /usr/share/nvim/runtime/filetype.lua
261.054  000.029  000.029: sourcing /usr/share/nvim/runtime/filetype.vim
261.846  000.170  000.170: sourcing /usr/share/nvim/runtime/syntax/synload.vim
262.080  000.760  000.590: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
264.602  000.333  000.333: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
264.656  000.021  000.021: sourcing /usr/share/nvim/runtime/plugin/health.vim
265.962  000.637  000.637: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
266.255  001.568  000.931: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
266.585  000.298  000.298: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
266.934  000.319  000.319: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
267.582  000.019  000.019: sourcing /home/tapiok/.local/share/nvim/rplugin.vim
267.599  000.607  000.588: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
267.747  000.121  000.121: sourcing /usr/share/nvim/runtime/plugin/shada.vim
267.849  000.045  000.045: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
268.117  000.231  000.231: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
268.315  000.155  000.155: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
268.390  000.037  000.037: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
268.730  000.306  000.306: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
270.046  001.131  001.131: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
275.220  003.647  003.647: require('lspsaga')
279.941  000.767  000.767: require('lspsaga.window')
279.960  001.571  000.804: require('lspsaga.libs')
281.416  000.542  000.542: require('lspsaga.wrap')
281.443  001.478  000.936: require('lspsaga.codeaction')
281.491  006.200  003.151: require('lspsaga.lightbulb')
282.146  000.586  000.586: require('lspsaga.lspkind')
283.185  000.872  000.872: require('lspsaga.symbolwinbar')
284.930  000.637  000.637: require('gitsigns.async')
285.402  000.466  000.466: require('gitsigns.status')
287.158  000.596  000.596: require('gitsigns.debug')
287.817  000.649  000.649: require('gitsigns.util')
288.815  000.408  000.408: require('gitsigns.uv')
288.827  001.004  000.596: require('gitsigns.subprocess')
291.458  000.366  000.366: require('gitsigns.message')
291.519  001.397  001.032: require('gitsigns.config')
292.048  000.520  000.520: require('gitsigns.signs.base')
292.060  002.338  000.421: require('gitsigns.signs')
292.081  003.247  000.909: require('gitsigns.hunks')
292.115  006.703  001.207: require('gitsigns.git')
293.535  000.357  000.357: require('gitsigns.cache')
294.154  000.608  000.608: require('gitsigns.debounce')
294.503  000.338  000.338: require('gitsigns.diff')
294.541  002.418  001.116: require('gitsigns.manager')
295.246  000.697  000.697: require('gitsigns.highlight')
295.285  012.077  001.156: require('gitsigns')
297.036  000.943  000.943: require('gitsigns.signs.vimfn')
301.864  002.015  002.015: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/vim-colors-xcode/colors/xcodedarkhc.vim
309.730  003.614  003.614: require('cmp.utils.highlight')
310.724  005.292  001.678: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
318.059  000.879  000.879: require('nvim-autopairs._log')
319.233  001.121  001.121: require('nvim-autopairs.utils')
321.907  000.914  000.914: require('nvim-autopairs.conds')
321.918  001.723  000.809: require('nvim-autopairs.rule')
321.924  002.685  000.962: require('nvim-autopairs.rules.basic')
321.938  010.220  005.535: require('nvim-autopairs')
322.973  000.056  000.056: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/opt/Ionide-vim/ftdetect/fsharp.vim
322.995  052.788  010.880: sourcing /home/tapiok/.config/nvim/plugin/packer_compiled.lua
323.607  000.091  000.091: sourcing /usr/share/nvim/runtime/plugin/man.lua
323.712  004.770: loading rtp plugins
325.128  000.539  000.539: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
325.970  000.345  000.345: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
