

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
168.084  001.820  000.958: require('mason-lspconfig.api.command')
168.088  101.110  000.705: require('lsp-install-config')
169.180  000.967  000.967: require('lspconfig')
169.303  000.117  000.117: require('lsp-default-keybinds')
170.397  001.087  001.087: require('lspconfig.server_configurations.lua_ls')
174.067  001.044  001.044: require('lspconfig.server_configurations.tsserver')
177.445  001.030  001.030: require('lspconfig.server_configurations.jsonls')
180.826  001.048  001.048: require('lspconfig.server_configurations.pyright')
184.125  001.015  001.015: require('lspconfig.server_configurations.csharp_ls')
198.868  012.219  012.219: require('lspconfig.server_configurations.eslint')
202.243  001.049  001.049: require('lspconfig.server_configurations.yamlls')
205.534  001.039  001.039: require('lspconfig.server_configurations.hls')
206.711  001.091  001.091: require('lspconfig.server_configurations.rust_analyzer')
209.959  000.689  000.689: require('lsp-colors')
211.044  001.058  001.058: require('nvim-lightbulb')
212.130  001.079  001.079: require('nvim-lightbulb.config')
212.199  044.108  019.576: require('lsp-config')
216.488  000.788  000.788: require('luasnip.session')
216.502  001.991  001.203: require('luasnip.util.util')
217.381  000.875  000.875: require('luasnip.session.snippet_collection')
219.262  001.038  001.038: require('luasnip.util._builtin_vars')
219.420  000.150  000.150: require('vim.inspect')
219.469  002.081  000.893: require('luasnip.util.environ')
220.283  000.809  000.809: require('luasnip.util.extend_decorator')
221.888  000.770  000.770: require('luasnip.loaders._caches')
222.759  000.864  000.864: require('luasnip.util.path')
222.782  002.493  000.859: require('luasnip.loaders')
223.757  000.965  000.965: require('luasnip.util.log')
225.418  000.769  000.769: require('luasnip.util.types')
226.245  000.820  000.820: require('luasnip.util.ext_opts')
227.075  000.823  000.823: require('luasnip.extras.filetype_functions')
227.221  003.451  001.039: require('luasnip.config')
227.227  013.940  001.274: require('luasnip')
228.100  000.869  000.869: require('luasnip.loaders.util')
232.548  000.820  000.820: require('luasnip.nodes.util')
233.315  000.760  000.760: require('luasnip.util.events')
233.326  002.485  000.905: require('luasnip.nodes.node')
234.211  000.881  000.881: require('luasnip.nodes.insertNode')
235.024  000.807  000.807: require('luasnip.nodes.textNode')
235.854  000.824  000.824: require('luasnip.util.mark')
236.676  000.816  000.816: require('luasnip.util.pattern_tokenizer')
237.459  000.777  000.777: require('luasnip.util.dict')
237.501  007.812  001.222: require('luasnip.nodes.snippet')
240.138  000.825  000.825: require('luasnip.util.parser.neovim_ast')
240.962  000.817  000.817: require('luasnip.util.str')
245.467  000.820  000.820: require('luasnip.util.directed_graph')
245.477  007.079  004.617: require('luasnip.util.parser.ast_utils')
246.320  000.839  000.839: require('luasnip.nodes.functionNode')
247.261  000.935  000.935: require('luasnip.nodes.choiceNode')
248.170  000.902  000.902: require('luasnip.nodes.dynamicNode')
248.967  000.791  000.791: require('luasnip.util.functions')
248.976  011.470  000.923: require('luasnip.util.parser.ast_parser')
249.891  000.911  000.911: require('luasnip.util.parser.neovim_parser')
249.900  021.029  000.837: require('luasnip.util.parser')
249.905  021.799  000.770: require('luasnip.nodes.snippetProxy')
249.911  037.604  000.996: require('luasnip.loaders.from_vscode')
268.165  055.962  018.358: require('luasnip-config')
271.983  001.243  001.243: require('plenary.bit')
273.154  001.164  001.164: require('plenary.functional')
273.172  004.033  001.627: require('plenary.path')
275.150  001.350  001.350: require('plenary.job')
275.157  001.982  000.632: require('harpoon.utils')
277.075  001.286  001.286: require('plenary.log')
277.096  001.935  000.649: require('harpoon.dev')
277.296  008.960  001.010: require('harpoon')
277.418  009.244  000.283: require('harpoon-config')
278.371  000.750  000.750: require('lspkind')
281.373  000.870  000.870: require('cmp.utils.debug')
283.239  000.932  000.932: require('cmp.utils.char')
283.249  001.869  000.937: require('cmp.utils.str')
284.133  000.880  000.880: require('cmp.utils.pattern')
286.861  000.933  000.933: require('cmp.utils.misc')
287.740  000.872  000.872: require('cmp.utils.buffer')
288.640  000.894  000.894: require('cmp.utils.api')
288.648  003.652  000.954: require('cmp.utils.keymap')
288.653  004.514  000.862: require('cmp.utils.feedkeys')
289.577  000.920  000.920: require('cmp.utils.async')
292.200  000.859  000.859: require('cmp.types.cmp')
293.154  000.934  000.934: require('cmp.types.lsp')
294.007  000.847  000.847: require('cmp.types.vim')
294.014  003.536  000.895: require('cmp.types')
294.877  000.859  000.859: require('cmp.utils.cache')
294.884  005.302  000.906: require('cmp.context')
297.774  000.943  000.943: require('cmp.config.mapping')
299.714  000.976  000.976: require('cmp.config.compare')
299.720  001.938  000.963: require('cmp.config.default')
299.731  003.840  000.959: require('cmp.config')
301.796  000.956  000.956: require('cmp.matcher')
301.805  002.071  001.115: require('cmp.entry')
301.813  006.925  001.014: require('cmp.source')
303.632  000.848  000.848: require('cmp.utils.event')
306.399  000.867  000.867: require('cmp.utils.options')
306.408  001.859  000.992: require('cmp.utils.window')
306.412  002.773  000.914: require('cmp.view.docs_view')
308.390  000.895  000.895: require('cmp.utils.autocmd')
308.401  001.986  001.091: require('cmp.view.custom_entries_view')
309.411  001.006  001.006: require('cmp.view.wildmenu_entries_view')
310.385  000.968  000.968: require('cmp.view.native_entries_view')
311.315  000.925  000.925: require('cmp.view.ghost_text_view')
311.329  009.513  001.008: require('cmp.view')
311.376  031.981  001.188: require('cmp.core')
312.340  000.860  000.860: require('cmp.config.sources')
313.212  000.866  000.866: require('cmp.config.window')
313.281  034.857  001.150: require('cmp')
314.947  000.372  000.372: require('colorbuddy.execute')
315.323  000.368  000.368: require('colorbuddy.log')
315.749  000.420  000.420: require('colorbuddy.util')
316.680  000.421  000.421: require('colorbuddy.modifiers')
316.704  000.948  000.527: require('colorbuddy.color')
317.121  000.413  000.413: require('colorbuddy.style')
317.131  003.062  000.540: require('colorbuddy.group')
317.135  003.476  000.413: require('colorbuddy')
317.233  039.809  000.726: require('completion')
317.734  000.403  000.403: require('Comment')
318.159  000.418  000.418: require('Comment.config')
319.722  000.511  000.511: require('Comment.ft')
319.730  001.062  000.551: require('Comment.utils')
320.207  000.473  000.473: require('Comment.opfunc')
320.638  000.425  000.425: require('Comment.extra')
320.645  002.431  000.471: require('Comment.api')
320.686  000.037  000.037: require('vim.keymap')
320.839  003.602  000.313: require('comment-nvim')
322.099  000.549  000.549: require('el.builtin')
323.180  000.519  000.519: require('el.data')
324.290  000.533  000.533: require('el.log')
325.345  000.528  000.528: require('el.meta')
325.352  001.056  000.528: require('el.processor')
325.356  002.170  000.581: require('el.sections')
325.379  003.274  000.584: require('el.extensions')
326.470  000.537  000.537: require('el.helper')
326.489  001.106  000.569: require('el.subscribe')
328.883  002.391  002.391: require('el.plugins.lsp_status')
328.891  007.880  000.561: require('el')
331.429  002.019  002.019: require('vim.diagnostic')
331.437  002.542  000.523: require('el.diagnostic')
335.535  000.638  000.638: require('fidget.log')
335.545  001.377  000.740: require('fidget')
336.164  000.605  000.605: require('fidget.spinners')
336.205  015.361  002.956: require('statusline')
338.694  001.218  001.218: require('virt-column.utils')
338.702  002.404  001.186: require('virt-column')
338.780  002.571  000.168: require('virt-column-config')
341.176  001.024  001.024: require('dap.utils')
341.201  002.314  001.289: require('dap')
341.222  002.439  000.125: require('dap-config')
341.299  000.072  000.072: require('keybinds')
341.570  000.266  000.266: require('lspsaga-config')
343.702  000.798  000.798: require('indent_blankline/utils')
343.710  001.733  000.935: require('indent_blankline')
343.775  002.200  000.467: require('indent-config')
343.779  311.326  000.157: sourcing C:\Users\Tapio\AppData\Local\nvim\init.lua
343.817  007.746: sourcing vimrc file(s)
346.035  000.041  000.041: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\LuaSnip\ftdetect\snippets.vim
346.650  000.038  000.038: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\vim-javascript\ftdetect\flow.vim
346.853  000.063  000.063: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\vim-javascript\ftdetect\javascript.vim
348.275  003.081  002.940: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\filetype.lua
349.929  000.130  000.130: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\syntax\synload.vim
350.074  001.292  001.163: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\syntax\syntax.vim
359.579  000.328  000.328: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\gzip.vim
359.794  000.043  000.043: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\health.vim
362.087  000.458  000.458: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\pack\dist\opt\matchit\plugin\matchit.vim
362.654  002.680  002.222: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\matchit.vim
363.046  000.230  000.230: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\matchparen.vim
363.258  000.037  000.037: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\netrwPlugin.vim
363.824  000.031  000.031: sourcing C:\Users\Tapio\AppData\Local\nvim-data/rplugin.vim
363.846  000.426  000.395: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\rplugin.vim
364.133  000.114  000.114: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\shada.vim
364.373  000.055  000.055: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\spellfile.vim
364.715  000.174  000.174: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\tarPlugin.vim
365.041  000.159  000.159: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\tohtml.vim
365.269  000.060  000.060: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\tutor.vim
365.626  000.187  000.187: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\zipPlugin.vim
378.399  001.440  001.440: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\vim-colors-xcode\colors\xcodedarkhc.vim
380.853  000.646  000.646: require('gitsigns.async')
381.473  000.612  000.612: require('gitsigns.status')
383.111  000.656  000.656: require('gitsigns.debug')
383.782  000.664  000.664: require('gitsigns.util')
385.030  000.608  000.608: require('gitsigns.uv')
385.037  001.249  000.640: require('gitsigns.subprocess')
387.700  000.569  000.569: require('gitsigns.message')
387.714  001.351  000.782: require('gitsigns.config')
388.298  000.579  000.579: require('gitsigns.signs.base')
388.305  002.533  000.603: require('gitsigns.signs')
388.311  003.270  000.737: require('gitsigns.hunks')
395.054  013.575  007.737: require('gitsigns.git')
396.532  000.613  000.613: require('gitsigns.cache')
397.156  000.617  000.617: require('gitsigns.debounce')
397.738  000.576  000.576: require('gitsigns.diff')
397.756  002.695  000.890: require('gitsigns.manager')
398.584  000.824  000.824: require('gitsigns.highlight')
398.601  019.556  001.204: require('gitsigns')
405.695  000.695  000.695: require('gitsigns.signs.vimfn')
413.149  000.895  000.895: require('lspsaga')
414.062  000.848  000.848: require('lspsaga.highlight')
415.252  000.991  000.991: require('lspsaga.lspkind')
416.486  000.926  000.926: require('lspsaga.lightbulb')
418.638  001.050  001.050: require('lspsaga.libs')
418.651  002.134  001.084: require('lspsaga.symbolwinbar')
431.197  011.350  011.350: require('cmp.utils.highlight')
431.452  011.738  000.388: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\nvim-cmp\plugin\cmp.lua
446.340  001.349  001.349: require('nvim-autopairs._log')
447.772  001.425  001.425: require('nvim-autopairs.utils')
452.101  001.525  001.525: require('nvim-autopairs.conds')
452.156  002.988  001.463: require('nvim-autopairs.rule')
452.162  004.383  001.395: require('nvim-autopairs.rules.basic')
452.175  019.075  011.919: require('nvim-autopairs')
452.764  000.060  000.060: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\opt\Ionide-vim\ftdetect\fsharp.vim
452.782  086.706  028.347: sourcing C:\Users\Tapio\AppData\Local\nvim\plugin\packer_compiled.lua
456.293  000.111  000.111: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\editorconfig.lua
456.591  000.124  000.124: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\man.lua
456.853  000.093  000.093: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\plugin\nvim.lua
457.074  017.356: loading rtp plugins
462.805  001.626  001.626: require('vim.fs')
462.993  000.181  000.181: require('bufferline.animate')
463.858  000.200  000.200: require('bufferline.options')
464.066  000.201  000.201: require('bufferline.utils')
464.077  000.634  000.234: require('bufferline.buffer')
464.087  000.855  000.220: require('bufferline.state')
464.094  001.094  000.240: require('bufferline.bbye')
464.275  000.177  000.177: require('bufferline.jump_mode')
464.659  000.169  000.169: require('bufferline.icons')
464.667  000.386  000.217: require('bufferline.layout')
465.656  000.319  000.319: require('bufferline.highlight')
465.675  001.004  000.685: require('bufferline.render')
465.694  004.973  000.504: require('bufferline.api')
465.699  005.223  000.249: require('bufferline')
466.541  006.124  000.902: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\barbar.nvim\plugin\bufferline.lua
468.427  000.294  000.294: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\Comment.nvim\plugin\Comment.lua
469.219  000.089  000.089: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\dashboard-nvim\plugin\dashboard.lua
469.706  000.084  000.084: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\express_line.nvim\plugin\express_line.vim
470.510  000.094  000.094: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\FixCursorHold.nvim\plugin\fix_cursorhold_nvim.vim
472.410  000.705  000.705: require('indent_blankline.commands')
472.510  001.019  000.314: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\indent-blankline.nvim\plugin\indent_blankline.vim
473.651  000.523  000.523: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\lsp-colors.nvim\plugin\lsp-colors.vim
474.685  000.095  000.095: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\lspsaga.nvim\plugin\lspsaga.lua
475.445  000.348  000.348: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\LuaSnip\plugin\luasnip.vim
476.528  000.116  000.116: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\nvim-cmp\plugin\cmp.lua
477.248  000.171  000.171: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\nvim-dap\plugin\dap.lua
478.502  000.248  000.248: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\nvim-lspconfig\plugin\lspconfig.lua
479.139  000.066  000.066: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\nvim-web-devicons\plugin\nvim-web-devicons.vim
479.929  000.109  000.109: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\plenary.nvim\plugin\plenary.vim
481.267  014.813: loading packages
483.683  000.187  000.187: require('cmp_buffer.timer')
483.693  000.522  000.335: require('cmp_buffer.buffer')
483.700  000.774  000.252: require('cmp_buffer.source')
483.703  000.961  000.187: require('cmp_buffer')
483.728  001.054  000.092: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\cmp-buffer\after\plugin\cmp_buffer.lua
484.720  000.279  000.279: require('cmp_nvim_lsp.source')
484.727  000.567  000.288: require('cmp_nvim_lsp')
